X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-666247.1523977424,-7977320.366029276,train,8.754591680138313E-5,16.034112635986308,0.3379518446175962
-666581.1108701222,-7625558.939074451,train,2.202827579387756E-4,53.406239364178134,0.6457393383472763
-667026.3888332952,-6328133.963581965,train,2.5418076572332184E-4,57.51149812971479,0.6980250579148776
-667026.3888332952,-8143080.424317071,train,3.208819769167843E-5,3.548840552256913,0.14029258526519217
-667360.347305675,-7930420.586571694,train,1.1212136651043899E-4,23.716391404954123,0.4103278685575048
-667582.9862872616,-7522565.945446997,train,2.641859098897656E-4,58.77026957017361,0.7119277955543396
-667582.9862872616,-8250210.041870189,train,3.8609557566775684E-5,4.710289858415303,0.1663022964895834
-667694.3057780549,-8033864.549584022,train,5.331795843677583E-5,7.574285328583758,0.22211275686056864
-668473.5422136078,-7229656.175890996,train,3.0981887871260963E-4,64.56946935871169,0.767651033116703
-668696.1811951943,-7722825.278272577,train,1.6413691041697995E-4,40.8574920950517,0.5384785762493791
-668696.1811951943,-7824872.811527456,train,1.3240587782072533E-4,30.278027416750444,0.4640670385069565
-668807.5006859876,-7735480.456890185,train,1.4812030571465632E-4,35.536003484941126,0.5023084362799737
-668807.5006859876,-7877773.273900488,train,1.0011982496215253E-4,19.898101036059753,0.37602873763493183
-669364.0981399539,-7327418.687593235,train,3.5888134365032485E-4,69.83102293323225,0.8155988095438689
-667916.9447596414,-7825906.503080812,train,1.2136579716654655E-4,26.971709071887577,0.43545651722517353
-1399842.5967254152,-7379626.013314011,train,3.544987229815942E-4,69.49967984218002,0.8117521019921298
-2223606.8285956397,-8961238.226298321,train,5.857222200078174E-6,0.3724774487006869,0.027215384215272476
2131768.2486911886,-8405423.70872238,train,4.173989914223836E-5,5.28333704904734,0.17850631137895423
1.6783639626901858E7,-4209948.030078414,train,8.026608096415464E-4,90.97373242458214,0.9772052858544262
1.683373339775883E7,-4430058.030350487,train,3.466667715647728E-4,68.7645619629206,0.8046769283330627
