scientificname,longitude,latitude,depth,taxonRank,occurrenceStatus,phylum,class,date_time,AphiaID
Prochlorococcus,-81.18,-33.04,140.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.18,-33.04,169.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.18,-33.04,20.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.18,-33.04,41.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.18,-33.04,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.18,-33.04,60.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.18,-33.04,80.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.2,-33.02,114.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.2,-33.02,70.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-81.2,-33.02,91.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-03,345515.0
Prochlorococcus,-84.07,-32.68,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.68,40.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.68,61.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.68,80.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,105.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,120.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,140.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,30.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,50.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,70.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-84.07,-32.7,90.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-02,345515.0
Prochlorococcus,-86.78,-32.4,41.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.78,-32.4,53.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.78,-32.4,71.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.78,-32.4,95.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,119.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,150.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,175.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,30.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,54.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,70.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Prochlorococcus,-86.79,-32.4,95.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-01,345515.0
Synechococcus,-168.671,-66.1,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-168.671,-66.1,22.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-168.671,-66.1,40.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-168.671,-66.1,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-168.671,-66.1,60.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-168.671,-66.1,75.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-168.671,-66.1,20.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.671,-66.1,30.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.671,-66.1,40.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.671,-66.1,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.671,-66.1,50.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.671,-66.1,60.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.672,-66.1,10.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.672,-66.1,2.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.672,-66.1,20.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.672,-66.1,33.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.672,-66.1,42.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.672,-66.1,65.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,102.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,11.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
