X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
8348961.809495518,-9439276.317602228,train,4.645988179343478E-5,11.535494102317077,0.23748485759954097
-8066210.302880602,-4089431.0997367264,train,2.957697430241613E-4,61.61057833826617,0.8220171216946204
-8166397.844594549,-3995557.043280985,train,1.7689666243354943E-4,47.787305366885754,0.643828323854192
-8167511.039502482,-4004909.1094803084,train,1.9427190647303987E-4,49.924790836282476,0.6781731947103743
1.8588815413919013E7,-1.2784442044273134E7,train,4.6734475640748755E-5,11.689733021049461,0.2387058008621451
-1667936.6659875796,-8940746.316539595,train,5.5754879123086796E-5,16.772913407015253,0.27774507746855714
1.9421544204382822E7,-7437367.037591572,train,1.6015556964326579E-4,45.79817894925395,0.6072743167407806
1.944937407708114E7,-7586137.279303898,train,2.0171457524303108E-4,51.05158096885551,0.6918522952735885
1.9621919287810713E7,-8440907.470828557,train,1.6037453118548226E-4,45.83266893872935,0.6077758316378521
1.9666447084128022E7,-8672972.848745184,train,1.5816743978335447E-4,45.53543468865667,0.602691209062956
1.9696124860373512E7,-8735074.852975545,train,2.0171521399728692E-4,51.051639927406235,0.6918534439456872
1.9742511692187067E7,-8928719.595077299,train,1.507233177045807E-4,44.38466061578073,0.5850506059225841
1.9803737412123367E7,-8797739.591650479,train,3.606087637103312E-4,68.36671752143162,0.8780883572441589
1.989835897929765E7,-9387814.241738394,train,4.16303079565418E-5,8.80362624748966,0.21568789303255953
2.0005971531047508E7,-1.0017778881618023E7,train,5.49218713524701E-5,16.32449807178931,0.27422542528392446
1.992618885199597E7,-9675636.673821183,train,5.371289593780415E-5,15.540201974314453,0.26908668914664224
1.6564340230039109E7,-8340505.728449973,train,5.674862872378599E-4,87.55224303255376,0.9635482196986587
1.852690285272452E7,-4344222.881511074,train,4.7809464799943525E-5,12.301409199515657,0.24346681188635377
-1.9347327499870945E7,-1.0088278431644956E7,train,9.771563189157405E-5,35.05610168998512,0.43461806935603464
-1.946977893974355E7,-1.0618368867734695E7,train,6.303313206438499E-5,21.11322906932534,0.3077803207670672
-5514544.934917185,-8829668.752582835,train,3.4416866422043144E-5,5.397636175969848,0.18196624487495916
-6750970.5191580765,-8414446.33653948,train,8.402655652239901E-6,0.3428391323342588,0.04785375749691878
1.3558713978620721E7,-9185635.533301996,train,3.239347614354208E-4,64.73878666204308,0.848993855623862
1.5284166085916461E7,-8588415.031895077,train,4.8740690257531957E-4,79.8392007708764,0.9418328015764995
1.5584728711058298E7,-8588415.031895077,train,2.2772000133581245E-4,54.08933084747639,0.7352421970363833
1.5762839896327537E7,-9756230.591640873,train,1.0638514796411764E-5,0.5198210838941232,0.060196792174580294
1.6742451415308345E7,-8187004.550457853,train,1.5420418970663318E-4,44.96623213054781,0.5933947865625735
1.6764715313467E7,-8362698.548500747,train,1.3879788736394715E-4,42.57220874206344,0.5551435720896042
1.6920562600577585E7,-8208738.425848883,train,6.359339363407056E-4,91.43960562038441,0.9755522039477741
1.738810446190933E7,-8588415.031895077,train,1.464088007989532E-4,43.62676169560564,0.5744700023533493
1.772206293428915E7,-8868886.858811272,train,7.851825177156494E-5,28.630284571991613,0.36759214804066953
1.80671533557483E7,-8868886.858811272,train,9.262568871788187E-5,33.52624672735346,0.417571965287287
1.8864946750416454E7,-1.3609441244495643E7,train,2.9357595866826018E-5,3.8876837077078825,0.15745359029338424
1.9306506642597053E7,-1.3297299316300178E7,train,6.078192687919333E-5,19.839293763349456,0.2986261481478041
1.9315790688129213E7,-7189275.604179957,train,7.987544510222106E-5,29.22364124570528,0.3725812726963956
1.9647890125012785E7,-8538905.319633227,train,7.259504542674298E-5,26.203933238069833,0.34534952549814313
1.97740485039288E7,-9058051.365040734,train,2.6153213303368436E-4,57.949010987318424,0.7826534856042877
1.986310409656342E7,-1.2521691525454376E7,train,6.259713851352602E-5,20.829559787523287,0.30601679922208624
2.0037508342789244E7,-1.01642885818694E7,train,4.91630152656087E-5,12.990809556914035,0.24941921633282504
3306188.8765602247,-8519963.026704658,train,3.63739619238504E-5,6.281207567331357,0.19125611482440774
6493636.591875989,-1.0017778881618023E7,train,4.6583828195536034E-5,11.605114595375712,0.23803621026012678
6679169.447596414,-8362698.548500747,train,5.334653161481375E-5,15.348553583338932,0.26752229011883666
6679169.447596414,-8588415.031895077,train,6.170229944842049E-5,20.275277186918196,0.3023832378586009
7228345.231111594,-8362698.548500747,train,1.6098905110852018E-5,1.152940898252083,0.08967244990873169
7235766.901562782,-8588415.031895077,train,4.629454564085107E-5,11.45101587318719,0.23674876919794097
7235766.901562782,-9062139.39009366,train,6.440362045507364E-5,21.912141478735304,0.31329458867093785
7235766.901562782,-9311318.355852628,train,4.074842982425513E-5,8.36364401427342,0.2116410192469449
7792364.355529149,-1.0116680739456367E7,train,2.5389940445974832E-5,2.903206791229239,0.1377171154043837
8348961.809495518,-9218935.250599641,train,5.867304109706491E-5,18.61314869503417,0.28994090522507443
8348961.809495518,-9569603.113292381,train,6.171387246925029E-5,20.28273462017413,0.30243035219884173
8348961.809495518,-1.0407332515149962E7,train,4.36916614375718E-5,10.003829876287366,0.22506644780957208
8348961.809495518,-1.0710847024360336E7,train,5.3314473375714256E-5,15.332818792621282,0.2673852401817314
9161594.092286414,-9286002.683757909,train,6.499904886114472E-5,22.265653278748697,0.31567663292468207
-1.9916003118588384E7,-1.0845098752482882E7,train,5.682741685165886E-5,17.483259641567685,0.28225167499436477
1.224597888344104E7,-6466628.242809064,train,8.621283645192368E-5,31.533984949828078,0.3953619118597612
1.2720600664387243E7,-8775731.951645201,train,3.481875879444011E-4,66.89340602386139,0.8689230357450803
1.2754018775523383E7,-8754799.985394962,train,3.6120399572256824E-4,68.44432394551431,0.878511105202006
1.2770683303295137E7,-8744860.397121536,train,3.831062863149333E-4,71.03648464185025,0.893088181320849
1.2837363678280309E7,-8705284.996098619,train,4.186686305601993E-4,73.99342927773462,0.9131252127138871
1.2854250845033647E7,-8695134.118020672,train,3.9854282300666726E-4,72.42731295741467,0.9022982907282607
1.2904455935381414E7,-8665786.192325937,train,2.8125021590591574E-4,60.11592671261811,0.8062785810935251
1.2921287442389358E7,-8655921.96532902,train,2.1684874144805595E-4,53.00527150539882,0.717900879164103
1.2970446129523667E7,-8626640.1253483,train,1.9900526209091967E-4,50.59126894006096,0.6869414059052634
1.30383844147548E7,-8591212.441783564,train,1.1773314256464431E-4,39.12970299525636,0.4969536605678032
1.3086407643083017E7,-8560522.891133916,train,1.3634511452983796E-4,42.16620375794795,0.5487300987780308
1.3118256149398975E7,-8539656.751250807,train,1.2967087689496487E-4,41.12099396224722,0.5308064066207652
1.316834992025595E7,-8512064.138023132,train,1.0732448666049121E-4,37.12275095430307,0.46544979823495225
1.320111124639641E7,-8493915.566524697,train,1.6562532906064765E-4,46.60765967702668,0.6196124260369249
1.3250826530984683E7,-8466247.382336013,train,2.2106059938783516E-4,53.50880041985572,0.7247502879721497
1.331628239157113E7,-8429907.736124193,train,2.566262524083133E-4,57.21116613209751,0.7763409251785576
1.3332368057990758E7,-8420626.972099947,train,2.4544421522279053E-4,55.81648764532134,0.7612589243171829
1.3348954662118955E7,-8410798.631175699,train,2.254770582716789E-4,53.90954758307027,0.7317538747677137
1.3427635278211642E7,-8362254.032995672,train,1.930999661625142E-4,49.79416113150009,0.6759645908898471
1.3714394286495114E7,-8198080.831977844,train,5.112844401807458E-4,81.89490032845198,0.9493987711497297
1.3914246168316279E7,-8077187.1756401835,train,4.4925412508668765E-4,76.27732211960132,0.9273265956573232
1.4191053214122834E7,-7917726.311646107,train,5.127957075161903E-4,82.04363411673877,0.9498430879839544
1.4267930454464667E7,-7876753.233906937,train,5.142701745595136E-4,82.22865546451537,0.9502728250715179
1.439103867933295E7,-7816546.441254846,train,5.172322277635046E-4,82.6673683054779,0.9511250270892787
1.4435499683955781E7,-7791334.3351038825,train,5.486208083160183E-4,86.2940855666248,0.9593057661063188
1.4553231177418748E7,-7722131.897048963,train,4.092179292656326E-4,73.09807504754063,0.9081992256576616
1.456829270452308E7,-7714447.781052631,train,4.063264072310853E-4,72.91597656474543,0.9066369905626369
1.458381064153966E7,-7707198.852062019,train,3.9736161104179707E-4,72.26710332160401,0.9016224694300601
1.4599117071523733E7,-7700200.860170639,train,3.8332950113601194E-4,71.05074615540506,0.8932273591463751
1.4718752128279267E7,-7637245.922215875,train,5.220578246261429E-4,83.48492113102277,0.9524822177808776
1.4763101813411307E7,-7612020.492677835,train,4.22699867712078E-4,74.47518190191505,0.9151451492040741
1.4792579214573365E7,-7597141.937952001,train,3.832233091525148E-4,71.04396139799184,0.8931611694433601
1.4837273990126867E7,-7574328.474985462,train,3.645628707622425E-4,68.93863948982563,0.8808693290243087
1.4866539884256415E7,-7557906.644835823,train,3.4905942057831965E-4,66.99672286545609,0.8695882465300686
1.4895638799149778E7,-7541241.298512969,train,3.9774747234747217E-4,72.31943429106171,0.9018437495496273
1.4954059267918086E7,-7485232.886248071,train,3.4702969619471337E-4,66.7561896432946,0.8680343123286597
1.498331403009856E7,-7445641.901863973,train,2.9351931018421117E-4,61.3695697250235,0.8196642221963512
1.502254301865411E7,-7393156.328014248,train,2.5278704146269095E-4,56.87873836391376,0.7712732716186718
1.5032027439269695E7,-7379807.930425804,train,3.0277490961205534E-4,62.17539327685412,0.829146536020213
1.514729877198613E7,-7224991.326973702,train,4.7789033942035415E-4,78.79765718423302,0.9385109670955905
1.5174427331892453E7,-7185927.9026863575,train,4.284872542381636E-4,74.85581036121354,0.9179632072967394
1.568517228760107E7,-8547380.502565961,train,2.5600703042138334E-4,57.165279568171144,0.775531229225269
1.5702003794609016E7,-8473577.69482272,train,4.032463284894038E-4,72.74390979522127,0.9049436284407939
1.5746843285500545E7,-8133831.225208959,train,5.264238896946186E-4,83.9326826182757,0.9536776622448575
1.5747967612357555E7,-8098150.187156241,train,5.309331958258864E-4,84.36855662443764,0.9548807643600578
1.575668392848667E7,-7974894.550450552,train,5.398837031904336E-4,85.35687874638401,0.9571770212161863
1.5773448643800138E7,-7873048.949470751,train,5.63356575583485E-4,87.12211936397685,0.9626590463190151
1.577570842946324E7,-7855987.0907646585,train,5.66271282097471E-4,87.46396120350548,0.9632888366392207
1.57777233122466E7,-7821772.5891708685,train,5.435138126309268E-4,85.78612231854264,0.958074674523726
1.5780706674599858E7,-7736175.06391272,train,5.00932218599849E-4,81.02749925045,0.946247516195177
1.5786996225829678E7,-7702844.689578219,train,4.7735974333412695E-4,78.74297150292573,0.9383202724899723
1.5803182079791019E7,-7506631.544645568,train,5.205782552552552E-4,83.28728957489763,0.9520701468777649
1.5804128295462761E7,-7523738.027500296,train,5.123919025661609E-4,82.00389300771177,0.9497247515754007
1.5806020726806248E7,-7556928.843657938,train,4.939182087359714E-4,80.52876661321673,0.9440016297667495
1.5818176815200876E7,-7529163.731120738,train,5.188967912509965E-4,82.9193163330951,0.9515975069913588
1.5841999186230633E7,-7383493.992602907,train,6.221784760690371E-4,90.51793121554024,0.9735087397469588
1.5863673091088085E7,-7289206.267674951,train,7.024116565921206E-4,93.94123347032158,0.9834135507479901
1.5878011041502258E7,-7226864.577883056,train,8.129658484461522E-4,96.49000648260377,0.9912992576812764
1.5881662320800275E7,-7210975.370289596,train,8.203822717458064E-4,96.75231418506687,0.9916678026375771
