X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-8696278.62077053,-3918364.310994796,train,8.238771154929061E-4,92.03521819883979,0.9945323863880693
-8694052.230954666,-3919690.7944741827,train,8.047075374603347E-4,91.55024369107112,0.9938278900680573
-9036916.26259795,-3877319.2245177915,train,7.727627094945747E-4,91.0762702626123,0.9924465079429231
-9358629.590990508,-3829836.460358995,train,8.15422013879401E-4,91.79384867721811,0.9942321515849698
-9660305.41104028,-3793038.9010129385,train,3.0062954793648987E-4,74.69981160196721,0.850537844501698
-1.8776369831592247E7,-9865159.058249503,train,5.553734461598138E-4,86.02998011533728,0.970142370698698
-1.879440358910076E7,-8742963.118139261,train,1.2228992565065978E-4,44.32965663133529,0.5384526489843474
-1.8833922008332368E7,-9350227.688455759,train,1.36988178086619E-4,50.886998955684845,0.5794111123272938
-1.8841046455743138E7,-8569183.38351269,train,1.4848566975677224E-4,54.75010143464791,0.6088998560077515
-1.8850063334497392E7,-9491117.343584212,train,3.307953858251467E-4,77.00284425074354,0.8764900718990596
-1.886798577251511E7,-9502052.686313516,train,4.80727752765309E-4,83.6968518685698,0.9521350617557643
-1.8931660521248866E7,-8414670.181402551,train,1.4503172545837138E-4,53.57506999897583,0.6002653296077491
-1.8935222744954247E7,-9525804.481995223,train,0.0012270141112195958,97.11119608504875,0.9995725709284543
-1.8936781217825353E7,-1.02662871602315E7,train,7.102404519996426E-5,20.715987370667595,0.36176275811259884
-1.894245851185581E7,-7692498.34621992,train,4.372407067878109E-5,7.735906778507978,0.24152298309415643
-1.8935445383935835E7,-8588415.031895077,train,1.5782703152250477E-4,57.66657471365993,0.631329438686641
-1.8935445383935835E7,-8821377.203064466,train,1.3767935770540976E-4,51.15975864521904,0.5812450509994506
-1.8935445383935835E7,-9613677.035133362,train,9.130075248477498E-4,94.2973347611201,0.9968878286904034
-1.8924313434856508E7,-8569412.032408351,train,1.5236213440402357E-4,56.09480417903663,0.6183687082585214
-1.8924313434856508E7,-8742963.118139261,train,1.1318536481055848E-4,39.98798713452043,0.5111050285667255
-1.9118899904763147E7,-7457095.966547017,train,5.994429501614168E-5,15.390456035041192,0.3154503927514062
-1.9451077265290275E7,-6942578.0994243985,train,1.581156246205691E-4,57.76458419090342,0.6320015062226885
-1.945085462630869E7,-6954386.994433081,train,1.5746442710215392E-4,57.54343015503002,0.6304832754836573
-8058417.938525074,-4078662.528474735,train,0.002717736678614603,99.99999611004054,0.999999965514438
-8060644.328340939,-4077317.192135305,train,0.0024856908211905097,99.72822729376668,0.9999998504491329
-8158605.480239021,-3984878.461035142,train,0.0011783190687623677,96.49455527035114,0.999418471600779
-8164171.454778684,-3986212.73130721,train,0.001207694518213291,96.823721417921,0.9995170392856751
-8181982.573305607,-3978209.4725125725,train,0.0012113721397796137,96.86585429290851,0.9995281393190468
-8441356.986853935,-3952903.0840130975,train,7.107093194105034E-4,89.65584250683081,0.988817626202352
1.8776258512101453E7,-9865159.058249503,train,3.531374043270014E-4,78.07643697301539,0.8927604103132184
1.8794069630628377E7,-8743665.755872231,train,1.80876985227684E-4,62.492121188867124,0.6813250795337168
1.8834144647313956E7,-9349462.696484236,train,0.0012503061337763525,97.36012611630906,0.9996310998681268
1.8840823816761553E7,-8570098.022284012,train,2.201266190476578E-4,68.19163505184059,0.7513570083860661
1.8867540494551938E7,-9501531.569660818,train,5.968612193631788E-4,87.27446432294036,0.9770312069943548
1.8932105799212035E7,-8413998.667372169,train,1.1233821778773776E-4,39.64001280193486,0.5084794646638952
1.893655857884377E7,-1.0342327102013642E7,train,1.8312745592514667E-4,62.8635495067529,0.6858272289742597
1.8942124553383432E7,-7691685.872920755,train,7.605150229377605E-5,23.07058041745606,0.3817306063256086
1.8935445383935835E7,-8588415.031895077,train,1.6450188593079677E-4,59.11160131871459,0.646564115355206
1.8935445383935835E7,-8821377.203064466,train,1.8231120956398715E-4,62.73345833640847,0.6842016967857785
1.8935445383935835E7,-9525020.174000489,train,9.569037348193792E-4,95.3233906884001,0.9976420572299409
1.8935445383935835E7,-9614471.32288308,train,6.149633126572534E-4,87.65935611009446,0.9795151193798644
1.9119122543744735E7,-7457686.8457130985,train,1.3203045021752233E-4,48.763088401635706,0.5660189905588697
1.945085462630869E7,-6943315.640357341,train,8.552656368241408E-5,27.27787786676982,0.4176807863761052
-3223812.4533732026,-3877319.2245177915,train,5.3750268314756344E-5,12.360985912912069,0.2881106642743366
-3228265.2330049337,-3599120.0984971197,train,4.508387535961899E-5,8.45470827778892,0.2480158736855863
-1.8911177734942902E7,-9083965.506175935,test,1.1150987489127258E-4,39.25539670834277,0.5058985466194368
1.945085462630869E7,-6954386.994433081,test,8.594700444277351E-5,27.473291445959074,0.41922665827859595
1.8924313434856508E7,-8036628.628587013,test,6.823159405368171E-5,19.371591996482508,0.3503945559110524
-1.89061683578572E7,-8916233.18878795,test,1.3920482172278422E-4,51.649733627410804,0.5852643837351821
-1.8935445383935835E7,-8362698.548500747,test,1.6283125521536092E-4,58.733531689728515,0.6428111772843439
-8063983.913064737,-4085391.6591918757,test,0.0018178728034581562,99.32675036365909,0.9999898027287185
1.8910955095961314E7,-9081755.329728324,test,1.9018793509791148E-4,64.22215770502838,0.6995433121366977
-1.8924313434856508E7,-1.0260472604369104E7,test,7.121080990415323E-5,20.823577409854046,0.36251594929768893
-1.8924313434856508E7,-8036628.628587013,test,1.1745728468272665E-4,42.1045183923006,0.5241328445381266
-8166397.844594549,-4007582.5563903367,test,0.0012649637064488391,97.50394450897859,0.9996637501956501
1.8935445383935835E7,-8362698.548500747,test,1.2424988255724958E-4,45.1765881819425,0.5441367188180655
