Predictor variable,Categorical,Sample average
chlorophyll,false,0.2192519899823305
nitrate,false,0.017580422605214942
oxygen,false,0.29219912976737994
salinity,false,34.37610641398544
sea_ice_extent,false,0.061730071704646956
sst,false,9.750029829624713
