station,depth,chla_ugL,chlorophytes,mixed_flagellates,cryptophytes,haptophytes,diatoms
036_01,55.5,0.144927095,0.000413834,0.000427572,0.01964587,0.711065231,0.268447492
036_01,74.5,0.08883588,0.003958722,0.000178268,0.000681696,0.795895102,0.199286211
036_01,102,0.060151125,0,0,0,0.775840701,0.224159299
038_01,2.2,0.198973291,0.097118595,0.017640232,0.1783261,0.623304096,0.083610976
038_01,10,0.156656529,0.098767188,0.000208551,0.178823639,0.639724705,0.082475917
038_01,49,0.181098754,0.05844546,0.001279276,0.156370815,0.590516305,0.193388144
038_01,75.4,0.2066189,0.044504691,0.000178749,0.114917208,0.749692558,0.090706794
038_01,99.6,0.124645295,0.039033356,0,0,0.955248966,0.005717678
040_01,2.7,0.886982807,0.000299996,0.006218633,0.009832683,0.813888126,0.169760561
040_01,10.1,1.154378723,0.051586147,0.005986375,0.012077398,0.682372219,0.247977861
040_01,24.6,0.939764023,0.000326366,0.002854317,0,0.862827444,0.133991874
040_01,50.4,1.030555644,0.016890413,0.004305247,0,0.82745849,0.15134585
040_01,73.9,0.625977322,0,0,0,0.836490086,0.163509914
040_01,99.8,0.343116777,0,0,0,0.861393894,0.138606106
042_01,1.9,0.404280616,0.027786591,0.019869293,0.01541595,0.409825824,0.527102342
042_01,10.4,0.299735401,0.001120927,0.000240656,0.001085511,0.312090964,0.685461943
042_01,25.9,0.452787363,0.035945275,0.012565999,0.015986624,0.382781283,0.552720819
042_01,50.7,0.511410987,0.011624308,0.014120511,0.016072447,0.419814647,0.538368087
042_01,74.9,0.408394645,0.012228268,0.011475835,0.014912383,0.415158526,0.546224988
042_01,100.5,0.322629403,0.015201214,0,0.013053242,0.347167087,0.624578456
044_01,2.3,0.422873734,0.059067032,0.014504945,0.018024551,0.292636632,0.61576684
044_01,10.3,0.409409658,0.033333751,0.021845678,0.025164138,0.351108797,0.568547636
044_01,24.4,0.504356556,0.033637121,0.01818727,0.017934931,0.309453225,0.620787454
044_01,49.5,0.31133525,0.04538064,0.023131794,0.02277431,0.415262586,0.49345067
044_01,99.7,0.154903066,0.082924686,0,0,0.36733902,0.549736294
044_01,150.4,0.158379211,0.091701107,0.000302474,0.001344752,0.339113916,0.567537751
046_01,10.2,0.386412983,0.042974374,0.020432152,0.033140012,0.363509479,0.539943983
046_01,25,0.324904024,0.045207836,0.018240266,0.025214543,0.337246204,0.574091151
046_01,54.8,0.269306057,0.066344732,0.033007384,0.025492006,0.444201026,0.430954853
046_01,75.3,0.187492529,0.092567437,0.00963029,0.014426081,0.442224281,0.441151911
046_01,102.6,0.157939985,0.094518424,0,0.028630851,0.440493,0.436357725
048_01,1.4,0.542613493,0.065766655,0.026194929,0.031041658,0.304180211,0.572816545
048_01,9.3,0.481832221,0.078780129,0.018283587,0.029257684,0.3197801,0.553898501
048_01,24.9,0.477515565,0.051363276,0.016087935,0.025003739,0.338185965,0.569359085
048_01,40.2,0.431804,0.060812351,0.01342363,0.016776734,0.390616199,0.518371086
048_01,77.6,0.205840486,0.114065173,0,0,0.449210724,0.436724103
048_01,100.8,0.144230374,0.101431471,0,0,0.406583787,0.491984742
048_01,151.1,0.015480863,0.000850418,0.00060987,0.002622724,0.366523132,0.629393856
050_03,2.5,1.43808768,0.044657384,0.010160952,0.027633208,0.560210721,0.357337735
050_03,9.2,1.274906883,0.0360943,0.007697104,0.021646876,0.587172003,0.347389717
050_03,25.4,1.539829887,0.03919178,0.008166425,0.018548439,0.570077188,0.364016167
050_03,50.1,1.102365424,0.030370969,0.007137109,0.008741081,0.481097244,0.472653597
050_03,75.6,0.383690345,0.053259753,0,0.006896808,0.426121776,0.513721662
050_03,100.3,0.174025593,0.065931056,0,0,0.489916999,0.444151945
050_05,25.3,1.571394545,0.036547697,0.004221494,0.012897965,0.600980232,0.345352612
052_01,1.7,1.150541727,0.034500454,0.008169681,0.020552044,0.516742286,0.420035535
052_01,10,0.852469086,0.036063667,0.006246491,0.024858881,0.557261899,0.375569062
052_01,24.7,1.006706845,0.059106315,0.006130083,0.014218302,0.460892587,0.459652714
052_01,50.5,0.959629052,0.010690916,0.000299712,0.00570386,0.545102089,0.438203423
052_01,75.1,0.156647729,0,0,0,0.748072004,0.251927996
054_01,2,0.655316292,0.103556835,0.010592623,0.031475175,0.343532512,0.510842856
054_01,9.7,0.622570258,0.096396288,0.017303912,0.036095632,0.347378638,0.502825531
054_01,24.7,0.608651168,0.097389668,0.010843245,0.035999902,0.340300029,0.515467157
054_01,54.6,0.194304099,0.058870692,0,0.062981414,0.559239479,0.318908414
054_01,75.4,0.129690992,0.046143726,0,0,0.619062121,0.334794154
054_01,100.5,0.039381143,3.06E-05,2.12E-05,8.30E-05,0.48403986,0.515825405
058_01,1.8,0.212542364,0.070467392,0,0.038537563,0.551945379,0.339049667
058_01,9.9,0.185813764,0.067749836,0.000137596,0.036000572,0.578021974,0.318090022
058_01,25,0.170456252,0.072261523,0,0.043104227,0.587295172,0.297339078
058_01,50.2,0.076642144,0,0,0.066992787,0.81843091,0.114576304
058_01,74.7,0.045644697,0.000366008,0.000379104,0.029853687,0.820270698,0.149130503
058_01,99.9,0.016033362,0,0,0,0.331988727,0.668011273
059_03,1.9,0.10507292,0.172294001,0.02430217,0.0712138,0.54692685,0.185263179
059_03,10.3,0.107302828,0.079639973,0,0.066526554,0.655712134,0.198121339
059_03,24.9,0.09597324,0.000136905,8.20E-05,0.077836856,0.708354902,0.213589375
059_03,49.8,0.059946297,0.000875888,0.000896593,0.074939643,0.731095441,0.192192436
059_03,74.7,0.050527586,0.00036916,0.000379484,0.043484713,0.892643793,0.06312285
059_03,100,0.008549292,0.000552074,0.00040132,0.001783776,0.463066816,0.534196013
061_01,9.7,0.586099962,0.107696198,0.008273975,0.038550153,0.36067813,0.484801544
063_01,2.2,0.699346471,0.102954823,0.004873253,0.028736779,0.400048903,0.463386242
063_01,10,0.494686368,0.099174848,0.007550854,0.030525794,0.404621864,0.45812664
063_01,24.9,0.609300456,0.108920938,0.005954793,0.033061652,0.388733061,0.463329556
063_01,50.1,0.211627714,0.052738045,0,0,0.628770962,0.318490993
063_01,74.9,0.507225199,0.065364139,0.000201381,0.02803813,0.413852067,0.492544283
063_01,100.5,0.071906275,0.164388013,0,0,0.449216733,0.386395254
066_01,9.9,0.305348342,0.112580116,0,0.054981319,0.605079673,0.227358892
066_01,25.2,0.238516931,0.109449647,0,0.05713987,0.603087824,0.230322659
066_01,49.5,0.212342415,0.074707642,7.44E-05,0.062065343,0.648681349,0.214471299
066_01,75.3,0.158517009,0.059605535,3.75E-05,0.022550342,0.686020124,0.231786522
066_01,100.1,0.058601645,9.27E-05,6.71E-05,0.000295021,0.721589818,0.277955432
067_01,2.2,0.241032042,0.075933603,9.69E-05,0.032917915,0.628624887,0.262426743
067_01,9.7,0.25532497,0.067099428,0.008530646,0.034464407,0.667219494,0.222686026
067_01,22.2,0.209775472,0.061166945,0.066399214,0.037999567,0.617840727,0.216593547
067_01,49.7,0.194619594,0.050826732,2.45E-05,0.03507379,0.725057239,0.189017723
067_01,75,0.126309857,0.034441315,4.87E-05,0.000215586,0.730353708,0.234940679
067_01,100.3,0.017660728,0.000377836,0.000270221,0.001154139,0.494436861,0.503760942
068_01,1.6,0.19051033,0.09246551,0.013040047,0.048679747,0.559161369,0.286653327
068_01,10,0.146007766,0.083292168,0,0.036696106,0.645477858,0.234533869
068_01,49.9,0.138664184,0.066767124,0,0.054393169,0.660307569,0.218532137
068_01,69.6,0.116667878,0.055113586,0,0.026753526,0.625593933,0.292538955
068_01,99.9,0.033476739,0.000354189,0.000252607,0.001071362,0.487079106,0.511242736
070_01,1.9,0.177391879,0.040807649,0.012880807,0.067184717,0.416653368,0.462473459
070_01,9.6,0.150383821,0.050466715,0,0.070761575,0.450907549,0.427864161
070_01,24.7,0.1369158,0.048894884,0,0.065940403,0.446232115,0.438932599
070_01,50,0.076436263,0.066831467,0,0.084150875,0.681168249,0.167849408
070_01,74.5,0.059300297,0.062519721,0.000178666,0.000770486,0.684844707,0.25168642
070_01,89.8,0.037333209,0.00071495,0.000511992,0.002194,0.665353034,0.331226025
071_03,2.3,0.084226093,0.143926344,0.000266587,0.115206685,0.522282938,0.218317446
071_03,10.1,0.096985726,0.114303677,0.027633676,0.109216889,0.593224462,0.155621297
071_03,24.6,0.088594688,0.098971403,0.035145838,0.130962002,0.571938828,0.16298193
071_03,50,0.073168797,0.078065933,0.000332343,0.099835578,0.578957665,0.242808481
071_03,75.2,0.062478351,0.073879135,0.000107256,0.038485357,0.625221601,0.262306651
071_03,100.3,0.031347326,0.000485756,0.000347866,0.001490735,0.706356023,0.29131962
073_03,1.9,0.118021603,0.2048864,0.000247801,0.035274539,0.558918116,0.200673142
073_03,9.8,0.082991405,0.187252728,0.000256962,0.040658194,0.571917543,0.199914573
073_03,24.7,0.10101257,0.183491916,0,0.038604945,0.667520922,0.110382216
073_03,50.1,0.126289679,0.059671779,0,0.008649782,0.83064949,0.101028948
