AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
345830,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345830,Pterosperma dictyon,"(Jørgensen) Ostenfeld, 1901",accepted,,220.0,Species,345830.0,Pterosperma dictyon,"(Jørgensen) Ostenfeld, 1901",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma dictyon (Jørgensen) Ostenfeld, 1901. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=345830 on 2022-05-29",urn:lsid:marinespecies.org:taxname:345830,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376082,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376082,Pterosperma marginatum,"Gaarder, 1954",accepted,,220.0,Species,376082.0,Pterosperma marginatum,"Gaarder, 1954",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma marginatum Gaarder, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376082 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376082,1.0,,,,,exact,2015-06-26T12:00:51.270Z
345882,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345882,Pterosperma moebii,"(Jørgensen) Ostenfeld, 1901",accepted,,220.0,Species,345882.0,Pterosperma moebii,"(Jørgensen) Ostenfeld, 1901",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma moebii (Jørgensen) Ostenfeld, 1901. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=345882 on 2022-05-29",urn:lsid:marinespecies.org:taxname:345882,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376083,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376083,Pterosperma nationalis,"Lohmann, 1904",accepted,,220.0,Species,376083.0,Pterosperma nationalis,"Lohmann, 1904",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma nationalis Lohmann, 1904. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376083 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376083,1.0,,,,,exact,2015-06-26T12:00:51.270Z
341609,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341609,Pterosperma parallelum,"Gaardner, 1938",accepted,,220.0,Species,341609.0,Pterosperma parallelum,"Gaardner, 1938",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma parallelum Gaardner, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341609 on 2022-05-29",urn:lsid:marinespecies.org:taxname:341609,1.0,,,,,exact,2015-06-26T12:00:51.270Z
341610,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341610,Pterosperma polygonum,"Ostenfeld, 1902",accepted,,220.0,Species,341610.0,Pterosperma polygonum,"Ostenfeld, 1902",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma polygonum Ostenfeld, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341610 on 2022-05-29",urn:lsid:marinespecies.org:taxname:341610,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376688,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376688,Pterosperma rotondum,Pouchet,accepted,,220.0,Species,376688.0,Pterosperma rotondum,Pouchet,160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma rotondum Pouchet. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376688 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376688,1.0,,,,,exact,2015-06-26T12:00:51.270Z
345881,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345881,Pterosperma vanhoeffenii,"(Jørgensen) Ostenfeld, 1899",accepted,,220.0,Species,345881.0,Pterosperma vanhoeffenii,"(Jørgensen) Ostenfeld, 1899",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma vanhoeffenii (Jørgensen) Ostenfeld, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=345881 on 2022-05-29",urn:lsid:marinespecies.org:taxname:345881,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376697,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376697,Pyramimonas adriaticus,"J.Schiller, 1913",accepted,,220.0,Species,376697.0,Pyramimonas adriaticus,"J.Schiller, 1913",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas adriaticus J.Schiller, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376697 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376697,1.0,,,,,exact,2015-06-26T12:00:51.270Z
341612,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341612,Pyramimonas gelidicola,"McFadden, Moestrup & Wetherbee, 1982",accepted,,220.0,Species,341612.0,Pyramimonas gelidicola,"McFadden, Moestrup & Wetherbee, 1982",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas gelidicola McFadden, Moestrup & Wetherbee, 1982. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341612 on 2022-05-29",urn:lsid:marinespecies.org:taxname:341612,1.0,,,,,exact,2015-06-26T12:00:51.270Z
