X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-1373682.5163889958,-5086229.162159121,train,2.3983245204703022E-4,44.93480565676608,0.5884310231130578
-1454912.3488208475,-5435626.516809772,train,1.6651243604747458E-4,32.826187013865,0.46010075502201575
-1469049.9241515934,-3578480.4946718304,train,8.208063479283287E-4,78.02505160222638,0.952086002050262
-1629160.7477595585,-5280804.919761216,train,2.0701001446482678E-4,40.191462639063566,0.5352618188375482
-1716913.9023518963,-6012288.746426601,train,6.596712678301337E-5,11.7308105534428,0.2166596474039857
-1749185.4227328661,-3525209.7701495164,train,8.302020602208269E-4,78.60371382833327,0.9537237928624356
-1817847.2846541572,-3617635.0434375796,train,9.4340699143105E-4,83.83413696538658,0.9695653560351253
-2001880.6668335975,-3596499.522667085,train,8.488214453350722E-4,79.63813348356722,0.9568058410839217
-2021929.307125466,-4831887.718454657,train,2.877256595576551E-4,50.69364512970441,0.6552939007744667
-2199673.138075086,-3690482.5797451627,train,8.366530301164293E-4,79.01997064249692,0.9548157472876123
-2326577.3575794175,-5515800.591478463,train,1.9544662991246857E-4,38.224358311269796,0.5149374092175678
-2397343.1578767016,-4613221.698404452,train,4.150513448969691E-4,60.17555932592179,0.784841378720907
-2433911.6106022918,-4521372.279439185,train,4.163347314293654E-4,60.26298760283283,0.7858611007326277
-2465537.477936661,-4435383.55207249,train,4.0594649080150325E-4,59.449302969661574,0.7774662843811596
-2530659.3800507262,-4235481.449327371,train,3.1080475091884276E-4,52.42643998029615,0.6835196436178836
-2533241.9922371297,-4801342.234133373,train,3.942864470932522E-4,58.338825622600304,0.7676510908804626
-2612089.587566006,-5058912.4098368855,train,2.783786094426579E-4,49.71159393758232,0.6431584709732768
-2674339.4468176044,-3938171.455831542,train,2.451181585830799E-4,45.90180143891163,0.5964054719104103
-2699308.4086025357,-3734140.291575787,train,5.668976529959346E-4,68.45299354009924,0.8773552657889545
-378300.36514750536,-3851575.251748004,train,2.841722419612084E-4,50.28005596354797,0.6507298406880474
-3924012.0504628937,-3482854.1529477914,train,0.0010115178752095027,86.31274957074183,0.976347753489916
-451033.1808471066,-5309401.115643754,train,2.11151729489928E-4,40.79011083114055,0.5423324866736459
-4612155.746699672,-3806167.598118513,train,5.193960703098409E-4,66.3917908486343,0.8537779092989429
-4872086.757701966,-7072837.766548255,train,2.463719681967154E-5,4.154030225142016,0.08716357155042109
-5182556.817524407,-3508691.1741855633,train,0.0011318659947766514,90.06505019673006,0.9848504617721858
-5332058.893659772,-4435341.827233829,train,9.21576794539236E-4,82.51664036214049,0.96700389343116
-5359899.898307171,-3709059.945690586,train,0.0012315085027437744,91.8378615119269,0.9895235783368901
-5434428.297393267,-3677962.0389441047,train,0.0019683880870718386,96.7239290124191,0.9993151475772302
-5727944.398767891,-6995430.424016036,train,5.936264352582185E-5,9.885318288405792,0.19727286981610792
-5824235.7583040735,-4619209.3604996735,train,0.0015458867378528615,95.27741175483925,0.9967279874919494
