class,longitude,latitude
Cyanophyceae,10.117,-63.083
Cyanophyceae,10.117,-63.083
Cyanophyceae,10.117,-63.083
Cyanophyceae,9.934,-60.233
Cyanophyceae,9.934,-60.233
Cyanophyceae,9.934,-60.233
Cyanophyceae,9.934,-60.233
Cyanophyceae,9.934,-60.233
Cyanophyceae,9.934,-60.233
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.231
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.933,-60.233
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.902,-64.833
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.888,-67.52
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.837,-56.844
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.833,-56.85
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-60
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-61
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-62
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,9.9,-65.167
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-58.5
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-60.917
Cyanophyceae,10,-61.667
Cyanophyceae,10,-61.667
Cyanophyceae,10,-61.667
Cyanophyceae,10,-61.667
Cyanophyceae,10,-61.667
Cyanophyceae,10,-61.667
Cyanophyceae,10,-61.667
Cyanophyceae,10,-67.5
Cyanophyceae,10,-67.5
Cyanophyceae,10,-67.5
Cyanophyceae,10,-67.5
Cyanophyceae,10,-67.5
Cyanophyceae,10,-67.5
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,8.252,-55.667
Cyanophyceae,5.268,-52.966
Cyanophyceae,5.268,-52.966
Cyanophyceae,5.268,-52.966
Cyanophyceae,5.268,-52.966
Cyanophyceae,5.268,-52.966
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.266,-52.968
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,5.27,-53.03
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.61,-34.55
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.59,-34.54
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.58,-34.51
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.57,-34.58
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.56,-34.6
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.55,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.54,-34.62
Cyanophyceae,107.53,-34.63
Cyanophyceae,107.53,-34.63
Cyanophyceae,107.53,-34.63
Cyanophyceae,107.53,-34.63
Cyanophyceae,107.53,-34.63
Cyanophyceae,107.53,-34.63
Cyanophyceae,107.6,-34.54
Cyanophyceae,107.6,-34.54
Cyanophyceae,107.6,-34.54
Cyanophyceae,107.6,-34.54
Cyanophyceae,107.6,-34.54
Cyanophyceae,107.6,-34.54
Cyanophyceae,107.6,-34.54
Cyanophyceae,106.71,-33.85
Cyanophyceae,106.71,-33.85
