station,depth,chla_ugL,chemtax_chlorophytes,chemtax_mixed_flagellates,chemtax_cryptophytes,Haptophytes1_frac_chla,Haptophytes2_frac_chla,chemtax_diatoms
042_01,25.9,0.452787363,0.035945275,0.012565999,0.015986624,0.166534602,0.216246681,0.552720819
042_01,50.7,0.511410987,0.011624308,0.014120511,0.016072447,0.212981707,0.20683294,0.538368087
042_01,74.9,0.408394645,0.012228268,0.011475835,0.014912383,0.203507177,0.211651349,0.546224988
042_01,100.5,0.322629403,0.015201214,0,0.013053242,0.158876737,0.18829035,0.624578456
044_01,2.3,0.422873734,0.059067032,0.014504945,0.018024551,0.067461133,0.225175499,0.61576684
044_01,10.3,0.409409658,0.033333751,0.021845678,0.025164138,0.023760174,0.327348623,0.568547636
044_01,24.4,0.504356556,0.033637121,0.01818727,0.017934931,0.078900099,0.230553126,0.620787454
044_01,49.5,0.31133525,0.04538064,0.023131794,0.02277431,0.076752854,0.338509732,0.49345067
044_01,99.7,0.154903066,0.082924686,0,0,0.022665028,0.344673992,0.549736294
044_01,150.4,0.158379211,0.091701107,0.000302474,0.001344752,0,0.339113916,0.567537751
046_01,10.2,0.386412983,0.042974374,0.020432152,0.033140012,0.014941382,0.348568097,0.539943983
046_01,25,0.324904024,0.045207836,0.018240266,0.025214543,0.035325129,0.301921075,0.574091151
046_01,54.8,0.269306057,0.066344732,0.033007384,0.025492006,0.142867369,0.301333657,0.430954853
046_01,75.3,0.187492529,0.092567437,0.00963029,0.014426081,0,0.442224281,0.441151911
046_01,102.6,0.157939985,0.094518424,0,0.028630851,0,0.440493,0.436357725
048_01,1.4,0.542613493,0.065766655,0.026194929,0.031041658,0.067362462,0.236817749,0.572816545
048_01,9.3,0.481832221,0.078780129,0.018283587,0.029257684,0.037254792,0.282525308,0.553898501
048_01,24.9,0.477515565,0.051363276,0.016087935,0.025003739,0.091974037,0.246211928,0.569359085
048_01,40.2,0.431804,0.060812351,0.01342363,0.016776734,0.133510743,0.257105456,0.518371086
048_01,77.6,0.205840486,0.114065173,0,0,0.045153126,0.404057598,0.436724103
048_01,100.8,0.144230374,0.101431471,0,0,0,0.406583787,0.491984742
048_01,151.1,0.015480863,0.000850418,0.00060987,0.002622724,0.192248328,0.174274804,0.629393856
050_03,2.5,1.43808768,0.044657384,0.010160952,0.027633208,0.505656218,0.054554503,0.357337735
050_03,9.2,1.274906883,0.0360943,0.007697104,0.021646876,0.541585431,0.045586572,0.347389717
050_03,25.4,1.539829887,0.03919178,0.008166425,0.018548439,0.507731332,0.062345856,0.364016167
050_03,50.1,1.102365424,0.030370969,0.007137109,0.008741081,0.440806124,0.04029112,0.472653597
050_03,75.6,0.383690345,0.053259753,0,0.006896808,0.23032165,0.195800126,0.513721662
050_03,100.3,0.174025593,0.065931056,0,0,0.142187247,0.347729752,0.444151945
050_05,25.3,1.571394545,0.036547697,0.004221494,0.012897965,0.548923436,0.052056796,0.345352612
052_01,1.7,1.150541727,0.034500454,0.008169681,0.020552044,0.460824692,0.055917594,0.420035535
052_01,10,0.852469086,0.036063667,0.006246491,0.024858881,0.484852355,0.072409544,0.375569062
052_01,24.7,1.006706845,0.059106315,0.006130083,0.014218302,0.395122732,0.065769855,0.459652714
052_01,50.5,0.959629052,0.010690916,0.000299712,0.00570386,0.534063561,0.011038528,0.438203423
052_01,75.1,0.156647729,0,0,0,0.64494854,0.103123464,0.251927996
054_01,2,0.655316292,0.103556835,0.010592623,0.031475175,0.225931597,0.117600915,0.510842856
054_01,9.7,0.622570258,0.096396288,0.017303912,0.036095632,0.224527474,0.122851164,0.502825531
054_01,24.7,0.608651168,0.097389668,0.010843245,0.035999902,0.210600267,0.129699762,0.515467157
054_01,54.6,0.194304099,0.058870692,0,0.062981414,0.205142366,0.354097113,0.318908414
054_01,75.4,0.129690992,0.046143726,0,0,0.140405445,0.478656676,0.334794154
054_01,100.5,0.039381143,3.06E-05,2.12E-05,8.30E-05,0.105507994,0.378531866,0.515825405
058_01,1.8,0.212542364,0.070467392,0,0.038537563,0.16162711,0.390318269,0.339049667
058_01,9.9,0.185813764,0.067749836,0.000137596,0.036000572,0.115339867,0.462682107,0.318090022
058_01,25,0.170456252,0.072261523,0,0.043104227,0.147839941,0.439455231,0.297339078
058_01,50.2,0.076642144,0,0,0.066992787,0.125713451,0.692717459,0.114576304
058_01,74.7,0.045644697,0.000366008,0.000379104,0.029853687,0,0.820270698,0.149130503
058_01,99.9,0.016033362,0,0,0,0.331988727,0,0.668011273
059_03,1.9,0.10507292,0.172294001,0.02430217,0.0712138,0.031578264,0.515348586,0.185263179
059_03,10.3,0.107302828,0.079639973,0,0.066526554,0,0.655712134,0.198121339
059_03,24.9,0.09597324,0.000136905,8.20E-05,0.077836856,0.111302284,0.597052618,0.213589375
059_03,49.8,0.059946297,0.000875888,0.000896593,0.074939643,0,0.731095441,0.192192436
059_03,74.7,0.050527586,0.00036916,0.000379484,0.043484713,0.021192997,0.871450796,0.06312285
059_03,100,0.008549292,0.000552074,0.00040132,0.001783776,0.463066816,0,0.534196013
061_01,9.7,0.586099962,0.107696198,0.008273975,0.038550153,0.172748975,0.187929155,0.484801544
063_01,2.2,0.699346471,0.102954823,0.004873253,0.028736779,0.260809159,0.139239744,0.463386242
063_01,10,0.494686368,0.099174848,0.007550854,0.030525794,0.229630345,0.174991519,0.45812664
063_01,24.9,0.609300456,0.108920938,0.005954793,0.033061652,0.227170564,0.161562497,0.463329556
063_01,50.1,0.211627714,0.052738045,0,0,0.261104057,0.367666905,0.318490993
063_01,74.9,0.507225199,0.065364139,0.000201381,0.02803813,0.233438684,0.180413383,0.492544283
063_01,100.5,0.071906275,0.164388013,0,0,0.085045068,0.364171665,0.386395254
066_01,9.9,0.305348342,0.112580116,0,0.054981319,0.192952358,0.412127315,0.227358892
066_01,25.2,0.238516931,0.109449647,0,0.05713987,0.186402371,0.416685453,0.230322659
066_01,49.5,0.212342415,0.074707642,7.44E-05,0.062065343,0.22647118,0.422210169,0.214471299
066_01,75.3,0.158517009,0.059605535,3.75E-05,0.022550342,0.156793405,0.529226719,0.231786522
066_01,100.1,0.058601645,9.27E-05,6.71E-05,0.000295021,0.250097034,0.471492784,0.277955432
067_01,2.2,0.241032042,0.075933603,9.69E-05,0.032917915,0.228076807,0.40054808,0.262426743
067_01,9.7,0.25532497,0.067099428,0.008530646,0.034464407,0.179053165,0.488166329,0.222686026
067_01,22.2,0.209775472,0.061166945,0.066399214,0.037999567,0.168989212,0.448851515,0.216593547
067_01,49.7,0.194619594,0.050826732,2.45E-05,0.03507379,0.190688709,0.53436853,0.189017723
067_01,75,0.126309857,0.034441315,4.87E-05,0.000215586,0.138837164,0.591516544,0.234940679
