Sample ID,lat,lon,Date,Time (GMT),yearday,POC,POC stdev,PON
F75,9.62733,-30.49172,28/Oct,2:18,301.09584,30.15,2.37,5.6322215
F76,9.40467,-30.29333,28/Oct,6:11,301.25765,51.94,2.4,11.24182917
F77,8.732,-29.83417,28/Oct,10:50,301.4514,69.18,3.13,11.21347
F78,8.17088,-29.42327,28/Oct,16:26,301.68473,39.69,1.42,7.97413625
F79,7.60902,-29.0213,28/Oct,20:28,301.85279,55.44,1.9,8.96704875
F80,7.18035,-28.72267,28/Oct,23:32,301.98057,41.2,4.79,6.37919875
F81,6.7585,-28.41717,29/Oct,2:31,302.10487,36.64,1.59,10.3779825
F82,6.54383,-28.27217,29/Oct,6:31,302.27154,35.16,0.72,7.36928075
F83,5.89383,-27.79533,29/Oct,11:17,302.47015,39.11,2.25,6.96405625
F84,5.5957,-27.58027,29/Oct,13:26,302.55973,48.29,1.29,7.46197875
F85,5.78833,-27.20325,29/Oct,18:58,302.79029,44.93,2.73,8.60788125
F86,4.46908,-26.77203,29/Oct,23:12,302.97015,39.88,2.15,9.1142475
F87,4.24522,-26.6372,30/Oct,1:42,303.07432,55.9,1.95,9.6816975
F88,3.98533,-26.38483,30/Oct,6:14,303.25973,28,1.59,7.006845333
F89,3.3255,-25.949,30/Oct,10:50,303.4514,19.09,0.33,5.9216205
F90,2.71565,-25.5148,30/Oct,17:04,303.71112,35.93,1.48,6.589147
F91,2.34298,-25.2449,30/Oct,19:43,303.82154,33.28,1.36,5.55199
F92,1.82558,-25,30/Oct,23:20,303.97223,21.42,1.81,5.30503925
F93,1.35482,-25.00458,31/Oct,2:11,304.09098,30.79,1.79,6.706147
F94,1.03883,-24.98067,31/Oct,6:30,304.27084,20.84,1.55,5.23406925
F95,0.317,-24.99932,31/Oct,11:18,304.47084,33.72,6.64,8.6648975
F96,0.09038,-24.99788,31/Oct,13:05,304.54515,52.17,2.29,9.433025
F97,-1.04395,-25.00555,31/Oct,21:17,304.88682,9.48,4.79,6.72827675
F98,-1.81557,-25.00967,1/Nov,2:18,305.09584,28.83,2.86,5.51702475
