,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F86,4.46908,-26.77203,29/Oct,23:12,302.97015,0.16,0.01,0.011,0.023,0.005,0.017,0.0009999,0.004,0.001,0.006,0.002,0.097,0.084,0.06,0.016,0.005,0.005,0.006,0.005,0.0009999,0.0009999,0.001,0.003,0.001,0.0009999,0.0009999
F87,4.24522,-26.6372,30/Oct,1:42,303.07432,0.172,0.01,0.013,0.024,0.005,0.019,0.0009999,0.006,0.001,0.005,0.002,0.092,0.084,0.058,0.03,0.005,0.005,0.007,0.006,0.001,0.0009999,0.002,0.003,0.003,0.0009999,0.0009999
F88,3.98533,-26.38483,30/Oct,6:14,303.25973,0.149,0.011,0.013,0.018,0.005,0.016,0.0009999,0.004,0.0009999,0.006,0.002,0.074,0.076,0.063,0.01,0.005,0.006,0.007,0.006,0.0009999,0.0009999,0.002,0.002,0.0009999,0.0009999,0.0009999
F89,3.3255,-25.949,30/Oct,10:50,303.4514,0.143,0.01,0.011,0.017,0.004,0.015,0.0009999,0.006,0.001,0.005,0.002,0.08,0.073,0.059,0.011,0.004,0.006,0.006,0.005,0.0009999,0.0009999,0.001,0.002,0.002,0.0009999,0.0009999
F90,2.71565,-25.5148,30/Oct,17:04,303.71112,0.147,0.013,0.014,0.019,0.005,0.022,0.0009999,0.005,0.0009999,0.006,0.004,0.086,0.072,0.065,0.01,0.006,0.007,0.008,0.006,0.0009999,0.0009999,0.001,0.002,0.0009999,0.0009999,0.0009999
F91,2.34298,-25.2449,30/Oct,19:43,303.82154,0.119,0.009,0.012,0.015,0.004,0.016,0.0009999,0.004,0.001,0.005,0.003,0.078,0.061,0.05,0.008,0.004,0.005,0.007,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F92,1.82558,-25,30/Oct,23:20,303.97223,0.101,0.012,0.014,0.013,0.007,0.018,0.0009999,0.005,0.0009999,0.005,0.003,0.074,0.044,0.054,0.003,0.005,0.007,0.008,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F93,1.35482,-25.00458,31/Oct,2:11,304.09098,0.106,0.009,0.01,0.015,0.004,0.013,0.0009999,0.004,0.0009999,0.004,0.002,0.073,0.043,0.056,0.007,0.004,0.005,0.006,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F94,1.03883,-24.98067,31/Oct,6:30,304.27084,0.121,0.012,0.013,0.015,0.006,0.017,0.0009999,0.005,0.001,0.005,0.003,0.063,0.056,0.062,0.003,0.005,0.007,0.007,0.006,0.0009999,0.001,0.001,0.002,0.0009999,0.0009999,0.0009999
F95,0.317,-24.99932,31/Oct,11:18,304.47084,0.287,0.036,0.042,0.0295,0.0225,0.051,0.002,0.0225,0.003,0.0115,0.006,0.155,0.1325,0.15,0.0045,0.014,0.022,0.022,0.02,0.0009999,0.001,0.002,0.0025,0.0009999,0.001,0.0009999
F96,0.09038,-24.99788,31/Oct,13:05,304.54515,0.36,0.041,0.061,0.032,0.032,0.085,0.002,0.039,0.005,0.015,0.006,0.151,0.19,0.166,0.004,0.016,0.025,0.029,0.032,0.0009999,0.002,0.002,0.003,0.0009999,0.002,0.0009999
F97,-1.04395,-25.00555,31/Oct,21:17,304.88682,0.139,0.017,0.024,0.014,0.015,0.033,0.0009999,0.01,0.002,0.006,0.003,0.078,0.065,0.073,0.001,0.006,0.011,0.012,0.012,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F98,-1.81557,-25.00967,1/Nov,2:18,305.09584,0.087,0.012,0.015,0.01,0.008,0.022,0.0009999,0.006,0.001,0.004,0.002,0.061,0.044,0.042,0.001,0.005,0.007,0.007,0.008,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F99,-2.07799,-24.99183,1/Nov,7:16,305.30279,0.098,0.013,0.015,0.01,0.007,0.02,0.0009999,0.004,0.0009999,0.004,0.002,0.056,0.044,0.053,0.001,0.005,0.008,0.008,0.007,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F100,-2.92453,-25.00177,1/Nov,13:16,305.55279,0.112,0.014,0.015,0.01,0.008,0.02,0.0009999,0.011,0.002,0.004,0.003,0.077,0.046,0.065,0.001,0.006,0.008,0.008,0.007,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F101,-3.05615,-24.99768,1/Nov,16:36,305.69168,0.086,0.009,0.01,0.008,0.005,0.016,0.0009999,0.008,0.002,0.003,0.002,0.074,0.037,0.048,0.001,0.004,0.005,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F102,-3.53462,-25.03767,1/Nov,19:39,305.81876,0.085,0.01,0.013,0.009,0.007,0.018,0.0009999,0.007,0.001,0.003,0.002,0.074,0.037,0.046,0.002,0.005,0.005,0.007,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F103,-4.13658,-25.02213,1/Nov,23:35,305.98265,0.117,0.017,0.0165,0.014,0.008,0.0245,0.0009999,0.0075,0.001,0.003,0.0025,0.09,0.047,0.069,0.001,0.008,0.009,0.0085,0.008,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F104,-4.4735,-25.0266,2/Nov,2:34,306.10696,0.092,0.013,0.015,0.011,0.008,0.021,0.0009999,0.006,0.0009999,0.003,0.002,0.073,0.042,0.049,0.001,0.006,0.007,0.008,0.007,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F105,-4.62183,-25.00217,2/Nov,5:52,306.24446,0.096,0.014,0.013,0.012,0.008,0.018,0.0009999,0.004,0.0009999,0.003,0.002,0.077,0.039,0.056,0.001,0.005,0.009,0.007,0.006,0.0009999,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999
F106,-5.493,-25.03017,2/Nov,11:35,306.48265,0.099,0.014,0.019,0.009,0.011,0.025,0.0009999,0.012,0.001,0.005,0.004,0.056,0.057,0.04,0.002,0.008,0.006,0.01,0.009,0.0009999,0.001,0.001,0.001,0.0009999,0.0009999,0.0009999
F107,-5.82925,-25.02987,2/Nov,15:23,306.64098,0.125,0.015,0.016,0.012,0.008,0.024,0.0009999,0.012,0.002,0.003,0.002,0.082,0.053,0.072,0.0009999,0.007,0.008,0.008,0.008,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F108,-6.43407,-25.04025,2/Nov,18:42,306.77918,0.113,0.012,0.017,0.012,0.01,0.025,0.0009999,0.009,0.001,0.003,0.002,0.077,0.047,0.065,0.001,0.005,0.007,0.009,0.008,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F109,-7.49875,-25.04008,3/Nov,0:24,307.01668,0.062,0.007,0.008,0.008,0.004,0.013,0.0009999,0.005,0.001,0.002,0.001,0.057,0.026,0.035,0.001,0.003,0.004,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F110,-7.88227,-25.04795,3/Nov,2:29,307.10348,0.057,0.007,0.009,0.007,0.004,0.013,0.0009999,0.005,0.001,0.003,0.001,0.056,0.026,0.03,0.001,0.003,0.004,0.004,0.005,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F111,-8.16883,-25.01833,3/Nov,6:19,307.26321,0.06,0.006,0.009,0.007,0.004,0.013,0.0009999,0.004,0.0009999,0.002,0.001,0.054,0.029,0.03,0.001,0.003,0.003,0.005,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F112,-9.50177,-25.05525,3/Nov,13:42,307.57084,0.051,0.005,0.007,0.006,0.003,0.011,0.0009999,0.007,0.002,0.002,0.001,0.049,0.025,0.025,0.001,0.002,0.003,0.003,0.004,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F113,-10.25717,-25.05492,3/Nov,19:27,307.81043,0.0505,0.006,0.0085,0.006,0.0045,0.0135,0.0009999,0.005,0.00099995,0.003,0.0015,0.049,0.0275,0.0225,0.00099995,0.0035,0.0025,0.0045,0.004,0.0009999,0.0009999,0.00099995,0.00099995,0.0009999,0.0009999,0.0009999
F114,-11.07183,-25.05958,3/Nov,23:38,307.98473,0.042,0.004,0.006,0.006,0.003,0.01,0.0009999,0.004,0.0009999,0.002,0.001,0.046,0.021,0.02,0.001,0.002,0.002,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F115,-11.41757,-25.03657,4/Nov,2:30,308.10418,0.045,0.005,0.007,0.0055,0.003,0.011,0.0009999,0.0045,0.0009999,0.002,0.001,0.0455,0.0255,0.019,0.00099995,0.003,0.002,0.004,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F116,-11.70283,-25.01883,4/Nov,6:13,308.25904,0.047,0.005,0.007,0.006,0.003,0.011,0.0009999,0.004,0.0009999,0.002,0.001,0.041,0.027,0.02,0.0009999,0.003,0.002,0.004,0.003,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F117,-13.01238,-25.06913,4/Nov,13:26,308.55973,0.038,0.003,0.006,0.004,0.003,0.008,0.0009999,0.007,0.001,0.002,0.001,0.029,0.024,0.013,0.001,0.002,0.001,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F118,-13.77593,-25.08687,4/Nov,19:27,308.81043,0.036,0.003,0.006,0.004,0.003,0.009,0.0009999,0.004,0.001,0.002,0.001,0.031,0.023,0.013,0.0009999,0.002,0.001,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F119,-14.73382,-25.07837,5/Nov,0:29,309.02015,0.0275,0.0015,0.004,0.003,0.002,0.007,0.0009999,0.004,0.0009999,0.002,0.001,0.0205,0.019,0.0085,0.0009999,0.0015,0.0009999,0.002,0.002,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F120,-15.27003,-25.07878,5/Nov,3:19,309.13821,0.026,0.002,0.004,0.003,0.002,0.007,0.0009999,0.004,0.0009999,0.002,0.001,0.019,0.019,0.007,0.0009999,0.002,0.0009999,0.002,0.002,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F121,-15.5865,-25.06,5/Nov,7:25,309.30904,0.047,0.003,0.008,0.004,0.004,0.011,0.0009999,0.004,0.0009999,0.002,0.001,0.029,0.032,0.014,0.001,0.003,0.0009999,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F122,-16.348,-25.08817,5/Nov,11:34,309.48196,0.046,0.004,0.007,0.005,0.004,0.011,0.0009999,0.009,0.001,0.002,0.001,0.035,0.031,0.015,0.0009999,0.003,0.001,0.003,0.004,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F123,-16.77965,-25.10757,5/Nov,15:52,309.66112,0.028,0.002,0.004,0.003,0.002,0.007,0.0009999,0.005,0.001,0.002,0.0009999,0.0195,0.019,0.008,0.001,0.002,0.0009999,0.002,0.002,0.0009999,0.0009999,0.0009999,0.0009999,0.0009999,0.0009999,0.0009999
F124,-17.39202,-25.08523,5/Nov,19:43,309.82154,0.027,0.002,0.005,0.002,0.003,0.007,0.0009999,0.004,0.0009999,0.002,0.001,0.016,0.021,0.006,0.0009999,0.002,0.0009999,0.002,0.003,0.0009999,0.0009999,0.0009999,0.0009999,0.0009999,0.0009999,0.0009999
F125,-17.98943,-25.09835,5/Nov,23:47,309.99098,0.026,0.002,0.005,0.002,0.003,0.008,0.0009999,0.003,0.0009999,0.002,0.001,0.013,0.02,0.006,0.0009999,0.002,0.0009999,0.003,0.002,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F126,-18.49165,-25.10047,6/Nov,3:39,310.15209,0.026,0.002,0.006,0.002,0.003,0.008,0.0009999,0.003,0.0009999,0.002,0.001,0.008,0.021,0.005,0.0009999,0.002,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F127,-18.53283,-25.10833,6/Nov,7:17,310.30348,0.029,0.002,0.006,0.002,0.003,0.009,0.0009999,0.003,0.0009999,0.002,0.001,0.01,0.024,0.005,0.0009999,0.002,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F128,-18.52378,-25.11795,7/Nov,9:40,311.40279,0.034,0.002,0.006,0.003,0.004,0.01,0.0009999,0.006,0.0009999,0.002,0.001,0.013,0.028,0.006,0.0009999,0.002,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F129,-18.52978,-25.10145,7/Nov,15:33,311.64793,0.029,0.002,0.006,0.002,0.003,0.009,0.0009999,0.005,0.001,0.002,0.001,0.0125,0.023,0.005,0.001,0.002,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.00099995,0.0009999,0.0009999,0.0009999
F130,-19.02873,-24.88732,7/Nov,19:43,311.82154,0.029,0.002,0.006,0.002,0.003,0.009,0.0009999,0.003,0.0009999,0.002,0.001,0.01,0.024,0.004,0.001,0.002,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F131,-19.59808,-24.663,7/Nov,23:42,311.98751,,,,,,,,,,,,,,,,,,,,,,,,,,
F132,-20.10123,-24.52007,8/Nov,3:16,312.13612,0.034,0.002,0.007,0.003,0.003,0.011,0.0009999,0.003,0.0009999,0.002,0.001,0.017,0.027,0.007,0.0009999,0.002,0.0009999,0.003,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F133,-20.3325,-24.55983,8/Nov,7:20,312.30557,0.0455,0.0025,0.01,0.004,0.004,0.015,0.0009999,0.003,0.0009999,0.003,0.001,0.018,0.036,0.009,0.00099995,0.0025,0.0009999,0.005,0.005,0.0009999,0.0009999,0.001,0.00099995,0.0009999,0.0009999,0.0009999
F134,-21.18817,-24.827,8/Nov,13:21,312.55626,0.042,0.003,0.008,0.003,0.004,0.013,0.0009999,0.007,0.001,0.003,0.001,0.015,0.035,0.007,0.0009999,0.002,0.001,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F135,-21.80605,-24.98682,8/Nov,19:28,312.81112,0.042,0.004,0.008,0.003,0.004,0.012,0.0009999,0.004,0.0009999,0.003,0.001,0.02,0.033,0.008,0.001,0.003,0.001,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F136,-22.41488,-25.00055,8/Nov,23:40,312.98612,0.034,0.003,0.006,0.003,0.004,0.008,0.0009999,0.003,0.0009999,0.003,0.001,0.019,0.026,0.008,0.0009999,0.002,0.001,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F137,-22.94885,-25.0038,9/Nov,3:22,313.14029,0.037,0.002,0.006,0.003,0.003,0.009,0.0009999,0.003,0.0009999,0.003,0.001,0.019,0.028,0.009,0.0009999,0.002,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.001,0.002,0.0009999,0.0009999
F138,-23.17533,-24.9975,9/Nov,7:13,313.30071,0.04,0.003,0.007,0.004,0.004,0.01,0.0009999,0.003,0.0009999,0.003,0.001,0.019,0.03,0.01,0.0009999,0.002,0.001,0.004,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F139,-24.1253,-25.00273,9/Nov,13:48,313.57501,0.026,0.001,0.004,0.002,0.002,0.006,0.0009999,0.006,0.002,0.003,0.0009999,0.014,0.02,0.006,0.0009999,0.001,0.0009999,0.002,0.002,0.0009999,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999
F140,-24.67883,-25.00382,9/Nov,19:16,313.80279,0.041,0.002,0.008,0.003,0.003,0.007,0.0009999,0.008,0.001,0.008,0.001,0.018,0.032,0.008,0.001,0.002,0.0009999,0.004,0.004,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F141,-25.34752,-24.99987,9/Nov,23:50,313.99307,0.043,0.002,0.007,0.005,0.003,0.008,0.0009999,0.006,0.001,0.005,0.002,0.027,0.029,0.013,0.001,0.002,0.0009999,0.004,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F142,-25.733,-24.99657,10/Nov,3:40,314.15279,,,,,,,,,,,,,,,,,,,,,,,,,,
F143,-25.92617,-25.0053,10/Nov,6:48,314.28334,0.059,0.002,0.009,0.006,0.004,0.01,0.0009999,0.005,0.001,0.007,0.001,0.035,0.038,0.02,0.001,0.002,0.0009999,0.005,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F144,-26.95883,-25.00167,10/Nov,13:15,314.55209,0.0455,0.0015,0.0065,0.0045,0.0025,0.008,0.0009999,0.009,0.005,0.005,0.001,0.029,0.0305,0.014,0.001,0.0015,0.0009999,0.003,0.0035,0.0009999,0.0009999,0.00099995,0.001,0.0009999,0.0009999,0.0009999
F145,-27.52548,-25.01005,10/Nov,19:28,314.81112,0.05,0.002,0.008,0.005,0.0035,0.01,0.0009999,0.0065,0.001,0.006,0.001,0.0295,0.035,0.015,0.0009999,0.002,0.0009999,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F146,-28.10428,-25.14038,10/Nov,23:51,314.99376,0.051,0.001,0.008,0.006,0.003,0.01,0.0009999,0.006,0.001,0.006,0.001,0.035,0.032,0.018,0.001,0.001,0.0009999,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F147,-28.35958,-25.48443,11/Nov,2:35,315.10765,0.049,0.002,0.007,0.006,0.003,0.009,0.0009999,0.006,0.001,0.005,0.002,0.035,0.031,0.017,0.001,0.002,0.0009999,0.004,0.003,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F148,-28.4785,-25.62667,11/Nov,6:54,315.28751,0.057,0.003,0.009,0.006,0.003,0.01,0.0009999,0.005,0.001,0.005,0.002,0.036,0.035,0.021,0.001,0.002,0.001,0.005,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F149,-29.12267,-26.50817,11/Nov,14:26,315.6014,0.044,0.001,0.006,0.005,0.003,0.008,0.0009999,0.008,0.004,0.003,0.001,0.033,0.026,0.017,0.001,0.001,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F150,-29.5075,-27.03935,11/Nov,19:30,315.81251,0.043,0.002,0.005,0.004,0.003,0.007,0.0009999,0.006,0.001,0.004,0.001,0.031,0.025,0.017,0.001,0.002,0.0009999,0.003,0.002,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F151,-29.91532,-27.59667,11/Nov,23:49,315.99237,0.049,0.001,0.006,0.005,0.003,0.008,0.0009999,0.007,0.001,0.006,0.002,0.029,0.032,0.016,0.001,0.001,0.0009999,0.003,0.003,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F152,-30.10842,-27.80913,12/Nov,2:34,316.10696,0.055,0.001,0.01,0.005,0.004,0.013,0.0009999,0.007,0.001,0.004,0.002,0.028,0.037,0.017,0.001,0.001,0.0009999,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F153,-30.3145,-28.0895,12/Nov,6:56,316.2889,0.0695,0.00249995,0.0125,0.006,0.005,0.017,0.0009999,0.006,0.001,0.005,0.002,0.03,0.0475,0.0215,0.00099995,0.00149995,0.00149995,0.0065,0.006,0.0009999,0.0009999,0.001,0.00099995,0.0009999,0.0009999,0.0009999
F154,-30.9311,-28.99433,12/Nov,13:25,316.55904,0.059,0.003,0.01,0.006,0.004,0.013,0.001,0.013,0.005,0.005,0.001,0.031,0.039,0.017,0.003,0.002,0.001,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F155,-31.46067,-29.7213,12/Nov,19:35,316.81598,0.064,0.003,0.011,0.006,0.005,0.014,0.0009999,0.007,0.001,0.008,0.001,0.035,0.045,0.018,0.001,0.002,0.001,0.006,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F156,-31.9586,-30.41688,13/Nov,0:32,317.02223,0.073,0.004,0.012,0.007,0.006,0.014,0.0009999,0.006,0.001,0.008,0.002,0.042,0.049,0.023,0.001,0.002,0.002,0.006,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F157,-32.17815,-30.73503,13/Nov,2:47,317.11598,0.077,0.003,0.013,0.008,0.005,0.015,0.0009999,0.006,0.001,0.008,0.001,0.04,0.049,0.027,0.001,0.002,0.001,0.007,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F158,-32.50017,-31.18383,13/Nov,7:15,317.30209,0.084,0.005,0.017,0.007,0.008,0.019,0.0009999,0.005,0.0009999,0.01,0.002,0.033,0.06,0.024,0.0009999,0.003,0.002,0.009,0.008,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F159,-32.86643,-31.73148,13/Nov,13:31,317.56321,0.093,0.005,0.017,0.008,0.008,0.02,0.0009999,0.012,0.001,0.012,0.002,0.042,0.061,0.029,0.003,0.003,0.002,0.009,0.008,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F160,-33.34215,-32.35798,13/Nov,18:50,317.78473,0.111,0.008,0.023,0.008,0.01,0.024,0.0009999,0.01,0.001,0.019,0.002,0.037,0.079,0.03,0.002,0.005,0.003,0.012,0.011,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F161,-33.78113,-32.99578,13/Nov,23:41,317.98682,0.138,0.016,0.032,0.009,0.021,0.045,0.0009999,0.012,0.001,0.008,0.005,0.028,0.112,0.025,0.001,0.013,0.003,0.015,0.017,0.0009999,0.001,0.002,0.001,0.0009999,0.001,0.0009999
F162,-34.0178,-33.34067,14/Nov,2:23,318.09932,0.263,0.031,0.079,0.012,0.058,0.107,0.001,0.02,0.002,0.013,0.011,0.024,0.229,0.029,0.005,0.026,0.005,0.037,0.042,0.0009999,0.003,0.003,0.002,0.003,0.002,0.0009999
F163,-34.21633,-33.62067,14/Nov,7:15,318.30209,0.259,0.02,0.081,0.011,0.059,0.106,0.001,0.015,0.001,0.016,0.009,0.018,0.239,0.018,0.002,0.018,0.002,0.038,0.043,0.0009999,0.002,0.003,0.002,0.002,0.003,0.0009999
F164,-34.81288,-34.47753,14/Nov,13:18,318.55418,0.235,0.025,0.06,0.014,0.04,0.083,0.001,0.025,0.002,0.013,0.006,0.041,0.186,0.044,0.005,0.02,0.005,0.029,0.031,0.0009999,0.002,0.003,0.002,0.0009999,0.002,0.0009999
F165,-35.3169,-35.2233,14/Nov,19:32,318.8139,0.142,0.014,0.034,0.008,0.024,0.05,0.001,0.018,0.003,0.008,0.003,0.025,0.116,0.025,0.001,0.011,0.003,0.016,0.018,0.0009999,0.001,0.002,0.001,0.0009999,0.002,0.0009999
F166,-35.43233,-35.37983,14/Nov,20:37,318.85904,0.399,0.042,0.104,0.022,0.058,0.154,0.003,0.049,0.005,0.019,0.018,0.052,0.35,0.042,0.007,0.036,0.006,0.048,0.056,0.001,0.004,0.005,0.003,0.0009999,0.004,0.0009999
F167,-35.83163,-35.96178,15/Nov,0:29,319.02015,0.7215,0.0925,0.205,0.026,0.107,0.277,0.009,0.065,0.005,0.067,0.04,0.04,0.7055,0.0009999,0.016,0.0925,0.0009999,0.097,0.108,0.001,0.01,0.011,0.005,0.0075,0.0155,0.0009999
F168,-36.02875,-36.22358,15/Nov,3:20,319.11251,0.6645,0.093,0.1735,0.028,0.084,0.215,0.0095,0.0565,0.006,0.076,0.0365,0.0445,0.624,0.00299995,0.038,0.093,0.0009999,0.082,0.0915,0.001,0.0085,0.0105,0.005,0.017,0.017,0.0009999
F169,-36.0652,-36.25433,15/Nov,4:26,319.18473,0.701,0.096,0.187,0.029,0.084,0.225,0.01,0.058,0.005,0.083,0.041,0.046,0.674,0.0009999,0.027,0.096,0.0009999,0.088,0.099,0.001,0.009,0.011,0.006,0.02,0.016,0.0009999
F170,-36.21083,-36.51217,15/Nov,7:41,319.32015,0.55,0.078,0.152,0.0225,0.083,0.1775,0.0065,0.033,0.003,0.0645,0.025,0.027,0.5205,0.008,0.0215,0.078,0.0009999,0.07,0.082,0.001,0.009,0.007,0.0045,0.016,0.0175,0.0009999
F171,-36.83717,-37.439,15/Nov,14:15,319.59376,0.18,0.021,0.042,0.012,0.026,0.05,0.004,0.029,0.005,0.015,0.015,0.025,0.169,0.004,0.007,0.021,0.0009999,0.021,0.021,0.001,0.004,0.005,0.019,0.012,0.004,0.0009999
F172,-37.24187,-38.02755,15/Nov,19:26,319.80973,0.383,0.028,0.105,0.016,0.037,0.089,0.003,0.05,0.012,0.101,0.014,0.032,0.317,0.006,0.06,0.028,0.0009999,0.045,0.06,0.001,0.004,0.004,0.002,0.016,0.005,0.0009999
F173,-37.6675,-38.68062,15/Nov,23:28,319.97779,0.7785,0.0425,0.225,0.032,0.0395,0.199,0.008,0.1215,0.0125,0.269,0.041,0.072,0.4975,0.0009999,0.281,0.0425,0.0009999,0.1265,0.0985,0.001,0.0065,0.01,0.006,0.0525,0.009,0.0009999
F174,-37.91107,-39.04712,16/Nov,1:50,320.0764,0.748,0.086,0.138,0.037,0.036,0.199,0.005,0.082,0.008,0.049,0.081,0.143,0.724,0.0009999,0.024,0.086,0.0009999,0.074,0.064,0.002,0.01,0.02,0.005,0.0009999,0.006,0.0009999
F175,-38.18567,-39.4675,16/Nov,6:45,320.28126,0.852,0.1,0.169,0.039,0.052,0.204,0.008,0.073,0.007,0.074,0.106,0.112,0.833,0.0009999,0.019,0.1,0.0009999,0.095,0.074,0.002,0.011,0.022,0.007,0.007,0.008,0.0009999
F176,-38.90835,-40.56425,16/Nov,14:14,320.59307,0.655,0.04,0.145,0.034,0.051,0.199,0.012,0.129,0.045,0.103,0.023,0.081,0.566,0.0009999,0.089,0.04,0.0009999,0.068,0.077,0.004,0.007,0.008,0.005,0.009,0.009,0.0009999
F177,-39.33292,-41.20883,16/Nov,19:31,320.81321,0.204,0.017,0.034,0.013,0.011,0.031,0.002,0.025,0.005,0.045,0.008,0.052,0.199,0.0009999,0.005,0.017,0.0009999,0.017,0.017,0.001,0.003,0.005,0.002,0.002,0.004,0.0009999
F178,-39.73145,-41.8224,16/Nov,23:20,320.95973,0.531,0.051,0.116,0.03,0.029,0.201,0.003,0.077,0.006,0.033,0.042,0.125,0.514,0.0009999,0.017,0.051,0.0009999,0.055,0.061,0.002,0.007,0.014,0.004,0.003,0.005,0.0009999
