,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F21,36.87067,-24.16535,17/Oct,1:18,290.05418,0.09,0.008,0.014,0.01,0.009,0.019,0.0009999,0.006,0.0009999,0.005,0.002,0.045,0.054,0.035,0.001,0.005,0.003,0.007,0.007,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F22,36.40883,-24.78563,17/Oct,7:38,290.31807,0.071,0.007,0.011,0.007,0.006,0.015,0.0009999,0.004,0.0009999,0.004,0.002,0.041,0.042,0.028,0.001,0.004,0.003,0.006,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F23,36.07112,-25.28423,17/Oct,10:46,290.44862,0.0805,0.0065,0.0135,0.008,0.008,0.0175,0.0009999,0.005,0.0009999,0.0045,0.002,0.045,0.0495,0.0295,0.0015,0.004,0.0025,0.0075,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F24,35.84703,-25.59428,17/Oct,13:31,290.56321,0.084,0.009,0.014,0.007,0.008,0.018,0.0009999,0.007,0.0009999,0.005,0.002,0.04,0.056,0.027,0.001,0.006,0.003,0.007,0.007,0.0009999,0.0009999,0.002,0.001,0.0009999,0.0009999,0.0009999
F25,35.31713,-26.32057,17/Oct,18:36,290.77501,0.081,0.008,0.015,0.0075,0.009,0.0185,0.0009999,0.0055,0.0009999,0.006,0.002,0.0425,0.0545,0.025,0.0015,0.0055,0.0025,0.008,0.007,0.0009999,0.0009999,0.0015,0.00099995,0.0009999,0.0009999,0.0009999
F26,34.49565,-27.41062,18/Oct,1:44,291.07223,0.0745,0.0075,0.0115,0.0075,0.007,0.0155,0.0009999,0.0045,0.0009999,0.004,0.0025,0.044,0.046,0.0275,0.001,0.005,0.0025,0.006,0.0055,0.0009999,0.0009999,0.001,0.00099995,0.0009999,0.0009999,0.0009999
F27,34.10395,-27.9256,18/Oct,7:51,291.32709,0.0825,0.009,0.014,0.0085,0.008,0.019,0.0009999,0.004,0.0009999,0.0055,0.0025,0.041,0.051,0.031,0.00099995,0.005,0.004,0.007,0.007,0.0009999,0.0009999,0.0015,0.00099995,0.0009999,0.0009999,0.0009999
F28,33.64945,-28.55952,18/Oct,11:59,291.49932,0.078,0.007,0.013,0.008,0.006,0.019,0.001,0.007,0.001,0.005,0.002,0.037,0.05,0.027,0.001,0.004,0.003,0.007,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F29,33.4029,-28.90732,18/Oct,15:25,291.64237,0.0795,0.008,0.014,0.007,0.007,0.0205,0.00099995,0.0065,0.001,0.005,0.002,0.0365,0.052,0.027,0.00099995,0.005,0.003,0.0065,0.0075,0.0009999,0.0009999,0.001,0.00099995,0.0009999,0.0009999,0.0009999
F30,32.87948,-29.57427,18/Oct,19:48,291.82501,0.079,0.008,0.014,0.007,0.007,0.021,0.0009999,0.005,0.001,0.005,0.002,0.038,0.05,0.028,0.001,0.005,0.003,0.007,0.007,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
