experiment,station,depth,group,taxa,biovolume,category,AphiaID
12,078_03,25.2,Phaeocystis,Phaeocystis antarctica,160190911,phaeocystis,341585.0
12,078_03,25.2,unknown diatom,unknown diatom,2581,diatom,
13,082_03,10.0,centric,centric,491274,diatom,
13,082_03,10.0,centric,Chaetoceros,763671,diatom,148985.0
13,082_03,10.0,centric,Corethron,157853,diatom,149109.0
13,082_03,10.0,centric,Proboscia,55381,diatom,149167.0
13,082_03,10.0,centric,Thalassiosira,2085989,diatom,148912.0
13,082_03,10.0,dinoflagellate,dinoflagellate,434,dinoflagellate,
13,082_03,10.0,pennate,Banquisia,127577,diatom,291402.0
13,082_03,10.0,pennate,Fragilariopsis,3539903,diatom,149313.0
13,082_03,10.0,pennate,Nitzschia longissima,1452,diatom,149150.0
13,082_03,10.0,pennate,pennate,4172,diatom,
13,082_03,10.0,pennate,Plagiotropidaceae,237,diatom,149515.0
13,082_03,10.0,pennate,Pseudo-nitzschia,74266,diatom,149151.0
13,082_03,10.0,Phaeocystis,Phaeocystis antarctica,5483220,phaeocystis,341585.0
13,082_03,10.0,silicoflagellate,silicoflagellate,244,silicoflagellate,
13,082_03,10.0,unknown diatom,unknown diatom,1026,diatom,
14,088_01,9.9,centric,Asteromphalus,1705174,diatom,162254.0
14,088_01,9.9,centric,centric,983775,diatom,
14,088_01,9.9,centric,Chaetoceros,159300,diatom,148985.0
14,088_01,9.9,centric,Eucampia,4459,diatom,149130.0
14,088_01,9.9,centric,Guinardia,177067,diatom,149111.0
14,088_01,9.9,centric,Proboscia,13621,diatom,149167.0
14,088_01,9.9,centric,Rhizosolenia,45053,diatom,149069.0
14,088_01,9.9,centric,Thalassiosira,3059295,diatom,148912.0
14,088_01,9.9,ciliate,ciliate,197,mixed_flagellate,
14,088_01,9.9,dinoflagellate,dinoflagellate,478,dinoflagellate,
14,088_01,9.9,pennate,Fragilariopsis,878914,diatom,149313.0
14,088_01,9.9,pennate,Nitzschia longissima,304,diatom,149150.0
14,088_01,9.9,pennate,pennate,61821,diatom,
14,088_01,9.9,Phaeocystis,Phaeocystis antarctica,350523,phaeocystis,341585.0
14,088_01,9.9,silicoflagellate,silicoflagellate,36,silicoflagellate,
14,088_01,9.9,unknown diatom,unknown diatom,784,diatom,
15,066_01,9.9,centric,Chaetoceros,4898,diatom,148985.0
15,066_01,9.9,centric,Thalassiosira,45332,diatom,148912.0
15,066_01,9.9,ciliate,ciliate,12,mixed_flagellate,
15,066_01,9.9,dinoflagellate,dinoflagellate,39,dinoflagellate,
15,066_01,9.9,pennate,Fragilariopsis,19220,diatom,149313.0
15,066_01,9.9,pennate,Nitzschia longissima,1485,diatom,149150.0
15,066_01,9.9,pennate,pennate,2214,diatom,
15,066_01,9.9,pennate,Pseudo-nitzschia,7876,diatom,149151.0
15,066_01,9.9,Phaeocystis,Phaeocystis antarctica,1038141,phaeocystis,341585.0
15,066_01,9.9,unknown diatom,unknown diatom,27,diatom,
