AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified,original
341616.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341616,Geminigera cryophila,"(D.L.Taylor & C.C.Lee) D.R.A.Hill, 1991",accepted,,220.0,Species,341616.0,Geminigera cryophila,"(D.L.Taylor & C.C.Lee) D.R.A.Hill, 1991",341305.0,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Geminigera,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Geminigera cryophila (D.L.Taylor & C.C.Lee) D.R.A.Hill, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341616 on 2022-11-23",urn:lsid:marinespecies.org:taxname:341616,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Geminigera cryophila
178566.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178566,Hillea marina,"Butcher, 1952",accepted,,220.0,Species,178566.0,Hillea marina,"Butcher, 1952",178565.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Hillea marina Butcher, 1952. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178566 on 2022-11-23",urn:lsid:marinespecies.org:taxname:178566,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Hillea marina
573886.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=573886,Isoselmis obconica,"Butcher, 1967",accepted,,220.0,Species,573886.0,Isoselmis obconica,"Butcher, 1967",573885.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Isoselmis,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Isoselmis obconica Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573886 on 2022-11-23",urn:lsid:marinespecies.org:taxname:573886,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Isoselmis obconica
119077.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=119077,Leucocryptos marina,"(Braarud) Butcher, 1967",accepted,,220.0,Species,119077.0,Leucocryptos marina,"(Braarud) Butcher, 1967",17651.0,Chromista,Cryptophyta,Cryptophyta incertae sedis,,Katablepharidaceae,Leucocryptos,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Leucocryptos marina (Braarud) Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=119077 on 2022-11-23",urn:lsid:marinespecies.org:taxname:119077,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Leucocryptos marina
106303.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106303,Plagioselmis prolonga,"Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994",accepted,,220.0,Species,106303.0,Plagioselmis prolonga,"Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994",106283.0,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Plagioselmis,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Plagioselmis prolonga Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106303 on 2022-11-23",urn:lsid:marinespecies.org:taxname:106303,1.0,,,,,exact,2019-07-12T06:20:28.783Z,Plagioselmis prolonga
106305.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106305,Teleaulax acuta,"(Butcher) D.R.A.Hill, 1991",accepted,,220.0,Species,106305.0,Teleaulax acuta,"(Butcher) D.R.A.Hill, 1991",106285.0,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Teleaulax acuta (Butcher) D.R.A.Hill, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106305 on 2022-11-23",urn:lsid:marinespecies.org:taxname:106305,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Teleaulax acuta
118075.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=118075,Telonema subtile,"Griessmann, 1913",accepted,,220.0,Species,118075.0,Telonema subtile,"Griessmann, 1913",118028.0,Chromista,Cryptophyta,Telonemea,Telonemida,,Telonema,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Telonema subtile Griessmann, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118075 on 2022-11-23",urn:lsid:marinespecies.org:taxname:118075,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Telonema subtile
345515.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=345515,Prochlorococcus,"S.W.Chisholm, S.L.Frankel, R.Goericke, R.J.Olson, B.Palenik, J.B.Waterbury, L.West-Johnsrud & E.R.Zettler, 1992",accepted,,180.0,Genus,345515.0,Prochlorococcus,"S.W.Chisholm, S.L.Frankel, R.Goericke, R.J.Olson, B.Palenik, J.B.Waterbury, L.West-Johnsrud & E.R.Zettler, 1992",160570.0,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Prochlorococcus,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prochlorococcus S.W.Chisholm, S.L.Frankel, R.Goericke, R.J.Olson, B.Palenik, J.B.Waterbury, L.West-Johnsrud & E.R.Zettler, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=345515 on 2022-11-23",urn:lsid:marinespecies.org:taxname:345515,1.0,,,,,exact,2012-07-04T13:40:04.623Z,Prochlorococcus
160572.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=160572,Synechococcus,"Nägeli, 1849",accepted,,180.0,Genus,160572.0,Synechococcus,"Nägeli, 1849",160571.0,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Synechococcus Nägeli, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=160572 on 2022-11-23",urn:lsid:marinespecies.org:taxname:160572,1.0,1.0,1.0,1.0,,exact,2011-07-19T09:48:19.947Z,Synechococcus
177604.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=177604,Trichodesmium,"Ehrenberg ex Gomont, 1892",accepted,,180.0,Genus,177604.0,Trichodesmium,"Ehrenberg ex Gomont, 1892",146707.0,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Trichodesmium,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Trichodesmium Ehrenberg ex Gomont, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=177604 on 2022-11-23",urn:lsid:marinespecies.org:taxname:177604,1.0,1.0,1.0,1.0,,exact,2012-07-04T13:40:04.623Z,Trichodesmium
